Order ID,Customer Name,Mobile Number,Email ID,Order Date,Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility (%),Item Weight,Sales,Rating,Outlet Age,Sales per Weight,Visibility Bucket,Rating Bucket,Item Category,Payment Mode,Delivery Status,Discount %,Quantity,City
349563,Rohan Singh,9760153433,rohan.singh@gmail.com,2026-07-08,Regular,FDX32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Neighborhood Supermarket,10.0,15.1,145.4786,5.0,14,9.63,Medium,Good,Food,UPI,Delivered,10,3,Delhi
168176,Aarav Iyer,9249135779,aarav.iyer@gmail.com,2026-02-23,Low Fat,NCB42,Health and Hygiene,2022,OUT018,Tier 3,Medium,Standard Supermarket,0.86,11.8,115.3492,5.0,4,9.78,Low,Good,Non-Consumable,Card,Delivered,0,2,Patna
424002,Ayaan Nair,9083350615,ayaan.nair@hotmail.com,2026-02-01,Regular,FDR28,Frozen Foods,2010,OUT046,Tier 1,Small,Neighborhood Supermarket,2.59,13.85,165.021,5.0,16,11.91,Low,Good,Food,Card,Returned,15,5,Delhi
692554,Arjun Singh,9814888107,arjun.singh@yahoo.co.in,2026-04-06,Regular,FDL50,Canned,2000,OUT013,Tier 3,High,Neighborhood Supermarket,4.23,12.15,126.5046,5.0,26,10.41,Low,Good,Food,Cash on Delivery,Delivered,10,3,Nagpur
60631,Karan Pillai,9983342337,karan.pillai@yahoo.co.in,2026-03-29,Low Fat,DRI25,Soft Drinks,2015,OUT045,Tier 2,Small,Neighborhood Supermarket,3.4,19.6,55.1614,5.0,11,2.81,Low,Good,Drinks,Wallet,Delivered,20,4,Lucknow
85954,Aditya Menon,9209484131,aditya.menon@yahoo.co.in,2026-03-24,Low Fat,FDS52,Frozen Foods,2020,OUT017,Tier 2,Small,Neighborhood Supermarket,0.55,8.89,102.4016,5.0,6,11.52,Low,Good,Food,Cash on Delivery,Delivered,5,5,Lucknow
871168,Aadhya Verma,9284033399,aadhya.verma@gmail.com,2026-03-02,Low Fat,NCU05,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,9.83,11.8,81.4618,5.0,15,6.9,Medium,Good,Non-Consumable,UPI,Delivered,5,5,Patna
571913,Aarav Gupta,9771805137,aarav.gupta@gmail.com,2026-02-21,Low Fat,NCD30,Household,2015,OUT045,Tier 2,Small,Neighborhood Supermarket,2.69,19.7,96.0726,5.0,11,4.88,Low,Good,Non-Consumable,Wallet,Delivered,0,4,Pune
108702,Reyansh Nair,9171731893,reyansh.nair@outlook.com,2026-07-18,Low Fat,FDW20,Fruits and Vegetables,2000,OUT013,Tier 3,High,Neighborhood Supermarket,2.41,20.75,124.173,5.0,26,5.98,Low,Good,Food,UPI,Delivered,0,2,Indore
393452,Anika Agarwal,9974909617,anika.agarwal@gmail.com,2026-06-14,Low Fat,FDX25,Canned,1998,OUT027,Tier 3,Medium,Hypermarket,10.16,12.31,181.9292,5.0,28,14.78,Medium,Good,Food,UPI,Delivered,5,2,Patna
